answerID,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo
-LZejc0awhSUR7c8CmIN,7,"Hartford International School",1,2,2,12+8=?,20,20,29.2844581604,1
-LZejcmhFVzxn2oHGMq0,7,"Hartford International School",0,1,4,37+23=?,60,48,5.4484596252,1
-LZejd8RhJ8HhERL2VgU,6,"Hartford International School",1,1,1,2+10=?,12,10,13.3331489563,1
-LZejdLOd4NFb8WXaU7b,9,"Hartford International School",1,4,1,7+10=?,17,17,9.8228034973,1
-LZeje9GWj3uYmCXvk0r,6,"Hartford International School",1,1,1,7+10=?,17,20,4.1485061646,1
-LZejeJd6FuF4cJYvQs1,9,"Hartford International School",1,4,1,10+2=?,12,12,3.9851570129000002,1
-LZejfGr1ekKv8dpyzcD,9,"Hartford International School",1,4,2,10+8=?,18,18,3.9192237854,1
-LZejg75F-cJ2rTgZAeL,9,"Hartford International School",1,4,2,10+7=?,17,17,3.4690895081,1
-LZejg_qrzktBHPtdWQD,6,"Hartford International School",1,1,4,25+10=?,35,35,39.7468109131,1
-LZejgwTdKgUXvyVGvWK,9,"Hartford International School",1,4,2,10+6=?,16,16,3.3431458473,1
-LZejhQgByr6nCEH8cZl,6,"Hartford International School",1,1,1,10+2=?,12,10,13.3999900818,1
-LZejibi0J6YcaEFxct5,7,"Hartford International School",1,2,2,11+4=?,15,15,27.0106735229,1
-LZejjRnpwACW5QmNP7Q,6,"Hartford International School",1,1,2,10+8=?,18,15,8.257183075,1
-LZejk1DRp0dPcKHqnvr,9,"Hartford International School",1,4,2,12+8=?,20,20,12.6584978104,1
-LZejkkQ42VPP2EfMqfX,6,"Hartford International School",1,1,2,10+7=?,17,20,5.3533325195,1
-LZejl_ior8G9EOnb8wB,9,"Hartford International School",1,4,2,11+4=?,15,15,7.537399292,1
-LZejm4sDynAioVVMN30,6,"Hartford International School",1,1,2,10+6=?,16,13,5.4704341888,1
-LZejmONAWvfGdUkb4En,7,"Hartford International School",0,1,4,62+38=?,100,100,13.1015205383,1
-LZejmXt_rGqpdERTx1S,6,"Hartford International School",1,1,2,12+8=?,20,20,1.8569412231,1
-LZejmuOZ_D7oV5ZpBnw,9,"Hartford International School",1,4,4,42+35=?,77,77,64.7293319702,1
-LZejnkbnQTIEnvpaZYJ,9,"Hartford International School",1,4,3,7+13=?,20,20,8.8890323639,1
-LZejnvFoQDxn3vDeeY4,6,"Hartford International School",1,1,2,11+4=?,15,15,5.6544933319,1
