id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQ_31XEufXkxu7tHB6,11,Hartford International School,0,5,2,6+11=?,17,17,2.6736068725585938,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_3ADKmccIsaxspuj,10,Hartford International School,0,5,1,5+10=?,15,15,2.6735782623291016,1,-LaQZxvCZUvf9J0938NI
-LaQ_3C3HFFWE74_LVv6,10,Hartford International School,0,5,2,2+12=?,14,14,2.57354736328125,1,-LaQZurPwCF55Hiv18kH
-LaQ_3CBw0haD74gWU22,10,Hartford International School,1,5,0,4+2=?,6,6,4.0439162254333505,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_3jDFmnqxOoAg-Gt,10,Hartford International School,0,5,1,7+10=?,17,17,2.3067989349365234,1,-LaQZxvCZUvf9J0938NI
-LaQ_3ojNEUOO9xOjnKS,10,Hartford International School,1,5,0,4+3=?,7,7,6.233875274658202,1,-LaQ_08Mr96o00YYSj4_
-LaQ_3pFceIOxddxkR55,10,Hartford International School,0,5,2,6+11=?,17,17,2.573799133300781,1,-LaQZurPwCF55Hiv18kH
-LaQ_4A_Z8y8pU68_Wvd,10,Hartford International School,1,5,0,4+3=?,7,7,3.9946870803833012,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_4PJMULtC4b67SNu,10,Hartford International School,0,5,2,6+11=?,17,17,6.668182373046875,1,-LaQZvlOUvQcKzVILey9
-LaQ_4QrKUjxKRPIGY-h,11,Hartford International School,1,5,0,1+3=?,4,4,2.927385807037353,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_4V4EMW415y7A5cR,10,Hartford International School,0,5,2,7+17=?,24,24,2.741413116455078,1,-LaQZurPwCF55Hiv18kH
-LaQ_4bbhDJB0lS5SBeT,10,Hartford International School,0,5,1,0+10=?,10,10,3.609214782714844,1,-LaQZxvCZUvf9J0938NI
-LaQ_4e0ODta3ta9hOWX,10,Hartford International School,1,5,0,3+1=?,4,4,3.4100246429443364,1,-LaQ_08Mr96o00YYSj4_
-LaQ_4vbXe-5nn78x7p9,10,Hartford International School,1,5,0,3+1=?,4,4,3.0743999481201167,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_5BRTvOQJgXLbyG_,10,Hartford International School,0,5,2,2+12=?,14,14,2.3567028045654297,1,-LaQZxvCZUvf9J0938NI
-LaQ_5Hkb-yTrFcZH-di,10,Hartford International School,0,5,2,8+21=?,29,29,3.241729736328125,1,-LaQZurPwCF55Hiv18kH
-LaQ_5MsNj4pdyP7ZCgi,11,Hartford International School,1,5,0,4+2=?,6,6,3.843174934387207,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_5iygnxO8ARIls-i,10,Hartford International School,0,5,2,3+30=?,33,33,1.8051681518554688,1,-LaQZurPwCF55Hiv18kH
-LaQ_5lmeNpniCsLtgVL,11,Hartford International School,0,5,2,7+17=?,24,24,11.21369171142578,1,-LaQZtfxo0QA8Ij62dk1
