answerID;answerChangedCount;edad;escuela;genero;grado;loID;problema;respuesta;respuestaJ;tiempo;tipo;userID
¿-LcHIW4lP4vxC6P56H-7;1;8;ColegiolaEnsenanza;1;3;1;1+10?;11;11;3,002788544;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4n1tgElC9lXJw3;1;8;ColegiolaEnsenanza;1;3;1;3+10?;13;13;3,319618225;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4p0tGVlZeBOeSc;1;8;ColegiolaEnsenanza;1;3;1;5+10?;15;15;4,170173645;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4qnK_wVtiKnjkK;1;8;ColegiolaEnsenanza;1;3;1;7+10?;17;17;3,269565582;1;¿-LcHIW3eUfvSx_iUbV3R
-LcHIW4sS-Afb2En1_B-;1;8;ColegiolaEnsenanza;1;3;1;0+10?;10;10;2,452571869;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4u66A1pxEa8o6Q;1;8;ColegiolaEnsenanza;1;3;2;2+12?;14;14;2,635513306;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4wjDdnzfqJY_P2;1;8;ColegiolaEnsenanza;1;3;2;6+11?;17;17;6,517090797;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4xpfBG6C_mjG5a;1;8;ColegiolaEnsenanza;1;3;2;7+17?;24;-;12,52766514;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4zDUQKt6_XDp7Y;1;8;ColegiolaEnsenanza;1;3;2;8+21?;29;29;14,72964478;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW5-T8azcIV9z59n;1;8;ColegiolaEnsenanza;1;3;2;3+30?;33;33;2,552232742;1;¿-LcHIW3eUfvSx_iUbV3R
-LcHIW51-7T_3CA_m2k3;1;8;ColegiolaEnsenanza;1;3;3;13+10?;23;23;4,904312134;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW53-ThyiT80aXp7;1;8;ColegiolaEnsenanza;1;3;3;22+10?;32;32;10,05882645;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW548DUUMJRbuyVq;1;8;ColegiolaEnsenanza;1;3;3;17+10?;27;27;3,75328064;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW56oT1hipUngpv3;1;8;ColegiolaEnsenanza;1;3;3;33+10?;43;43;4,036872864;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW570qJ8MB5JOTlp;2;8;ColegiolaEnsenanza;1;3;3;40+10?;50;50;6,706630707;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW59Y_IvoGGsvmNv;1;8;ColegiolaEnsenanza;1;3;4;17+25?;42;34;10,17258453;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW5AYFB_hSdVMH5w;1;8;ColegiolaEnsenanza;1;3;4;25+25?;50;40;15,61352921;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW5Cc4LjuPF70VtZ;1;8;ColegiolaEnsenanza;1;3;4;42+35?;77;77;13,79530716;1;¿-LcHIW3eUfvSx_iUbV3R
-LcHIW5Gm4A-soq8E_f-;1;8;ColegiolaEnsenanza;1;3;4;46+37?;83;67;44,87042999;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW5IrbQcMP477nKh;1;8;ColegiolaEnsenanza;1;3;4;61+39?;100;80;6,006155014;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW5KzAlWz_SAo0Vy;1;7;ColegiolaEnsenanza;1;1;0;1+3?;4;4;28,7326107;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5MoPZiZQeur1lt;1;7;ColegiolaEnsenanza;1;1;0;4+2?;6;6;10,61021614;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5NW_OTXFAVQxf3;1;7;ColegiolaEnsenanza;1;1;0;4+3?;7;6;11,54371643;1;¿-LcHIW5KzAlWz_SAo0Vx
¿-LcHIW5P4VKozB59ExHU;1;7;ColegiolaEnsenanza;1;1;0;3+1?;4;4;8,607906342;1;¿-LcHIW5KzAlWz_SAo0Vx
